Country,Продовольственные товары и сельскохозяйственное сырье (кроме текстильного),Топливно-энергетические товары,"Продукция химической промышленности, каучук","Кожевенное сырье, пушнина и изделия из них",Древесина и целлюлозно-бумажные изделия,"Текстиль, текстильные изделия и обувь","Драгоценные камни, металлы и изделия из них",Металлы и изделия из них,"Машины, оборудование и транспортные средства",Другие товары
2006,4849,189667,15702,326,9273,589,7777,39397,15952,4614
2007,8262,216031,19558,290,11934,603,6832,46921,17745,6547
2008,8369,307634,28457,303,11153,481,7164,51487,20236,8790
2009,9281,190055,17566,208,8168,390,5040,32050,16551,5632
2010,8070,258192,22918,260,9229,410,8598,39345,19541,6999
2011,13330,361967,32633,394,11273,934,11168,47533,26025,11462
2012,16769,368368,32129,518,10191,770,13825,44432,26553,11180
2013,16228,372036,30789,609,10980,928,14302,40846,28910,11638
2014,18841,344844,29030,412,11622,1035,11840,41274,26222,11541
2015,16145,216239,25253,308,9819,831,7875,33819,25222,8644
